2524
a,1,99
b,2,99
c,3,98
d,4,98
e,5,96
f,6,96
g,7,94
h,8,93
i,9,92
j,10,91
k,11,90
l,12,89
m,13,88
n,14,87
o,15,86
p,16,85
q,17,84
r,18,83
s,19,82
t,20,82
u,21,80
v,22,79
w,23,79
x,24,77
y,25,76
z,26,75
aa,27,74
ab,28,73
ac,29,72
ad,30,71
ae,31,70
af,32,69
ag,33,68
ah,34,67
ai,35,66
aj,36,65
ak,37,64
al,37,63
am,39,62
an,40,61
ao,41,60
ap,41,59
aq,43,58
ar,44,57
as,45,56
at,46,55
au,47,54
av,48,53
aw,49,52
ax,50,51
ay,51,50
az,52,49
ba,53,48
bb,54,47
bc,55,46
bd,56,45
be,57,44
bf,58,43
bg,59,42
bh,60,41
bi,61,40
bj,62,39
bk,63,38
bl,64,37
bm,65,36
bn,66,35
bo,67,34
bp,68,33
bq,69,32
br,70,31
bs,71,30
bt,72,29
bu,73,28
bv,74,27
bw,75,26
bx,77,25
by,77,24
bz,78,23
ca,79,22
cb,80,21
cc,81,20
cd,82,19
ce,83,18
cf,84,17
cj,85,16
ch,86,15
ci,87,14
cj,88,13
ck,89,12
cl,90,11
cm,91,10
cn,90,9
co,93,8
cp,94,7
cq,95,6
cr,96,5
cs,99,4
ct,98,3
cu,99,2
cv,100,1
